# Sensor Coronel Sur, Chile (Sistema Nacional de Calidad del Aire en Chile/816)
# https://aqicn.org/station/@500230/
# Daily so2
date,min,max,median,q1,q3,stdev,count
2024-12-24T00:00:00.000Z,1,65.63,1,1,1.17,13.443,22
2024-12-25T00:00:00.000Z,1,7.48,1,1,1.34,1.355,24
2024-12-26T00:00:00.000Z,1,2.71,1,1,1.37,0.41,24
2024-12-27T00:00:00.000Z,1,1.22,1,1,1,0.045,23
2024-12-28T00:00:00.000Z,1,2.27,1,1,1,0.305,22
2024-12-29T00:00:00.000Z,1,5.35,1.18,1,2.23,1.033,21
2024-12-30T00:00:00.000Z,1,4.88,1,1,1.5,0.93,24
2024-12-31T00:00:00.000Z,1,3.74,1,1,1,0.638,24
2025-01-01T00:00:00.000Z,1,3.32,1,1,1.18,0.576,24
2025-01-02T00:00:00.000Z,1,73.4,1,1,1,14.717,23
2025-01-03T00:00:00.000Z,1,1.89,1,1,1,0.212,24
2025-01-04T00:00:00.000Z,1,1,1,1,1,0,24
2025-01-05T00:00:00.000Z,1,1.44,1,1,1,0.136,24
2025-01-27T00:00:00.000Z,1,1,1,1,1,0,24
2025-01-28T00:00:00.000Z,1,6.41,1,1,1.56,1.266,24
2025-01-29T00:00:00.000Z,1,30.73,1,1,1.24,6.167,22
2025-01-30T00:00:00.000Z,1,2.29,1,1,1,0.333,21
2025-01-31T00:00:00.000Z,1,4.32,1,1,1,0.693,24
2025-02-01T00:00:00.000Z,1,1.81,1,1,1,0.181,24
2025-02-02T00:00:00.000Z,1,3.75,1,1,1,0.834,24
2025-02-10T00:00:00.000Z,1,1,1,1,1,0,24
2025-02-11T00:00:00.000Z,1,1.36,1,1,1,0.098,23
2025-02-12T00:00:00.000Z,1,89.84,1,1,1,17.736,24
2025-02-13T00:00:00.000Z,1,4.76,1,1,1,0.754,24
2025-02-14T00:00:00.000Z,1,1.12,1,1,1,0.025,22
2025-02-15T00:00:00.000Z,1,1,1,1,1,0,23
2025-02-16T00:00:00.000Z,1,1.21,1,1,1,0.043,23
2025-02-17T00:00:00.000Z,1,1,1,1,1,0,24
2025-02-18T00:00:00.000Z,1,67.73,1,1,1,13.743,24
2025-02-19T00:00:00.000Z,1,1,1,1,1,0,23
2025-02-20T00:00:00.000Z,1,1,1,1,1,0,24
