date, pm25, pm10, o3, no2, so2, co
2024/8/13, 84, 74, 11, 1, 1, 15
2024/8/14, 150, 69, 8, , 1, 15
2024/8/15, 141, 106, 3, , 1, 31
2024/8/16, 222, 51, 12, 3, 1, 8
2024/8/17, 75, 55, 12, 3, 1, 8
2024/8/18, 101, 102, 16, 2, 1, 24
2024/8/19, 191, 84, 14, 1, 1, 22
2024/8/20, 172, 91, 18, 2, 1, 21
2024/8/21, 172, 45, 16, 2, 1, 11
2024/8/22, 110, 33, 16, 2, 1, 11
2024/8/23, 97, 46, 15, 6, 1, 12
2024/8/24, 112, 112, 15, 56, 2, 22
2024/8/25, 178, 93, 16, 10, 2, 24
2024/8/26, 176, 42, 15, 3, 1, 11
2024/8/27, 93, 56, 13, 6, 3, 9
2024/8/28, 93, 83, 11, 8, 4, 17
2024/8/29, 137, 70, 16, 7, 2, 16
2024/8/30, 129, 79, 18, 3, 1, 15
2024/8/31, 150, 93, 24, 3, 1, 21
2024/9/1, 177, 54, 24, 2, 1, 12
2024/9/2, 114, 30, 25, 2, 1, 9
2024/9/3, 69, 47, 23, 3, , 12
2024/9/4, 102, 65, 16, 7, 1, 12
2024/9/5, 101, 65, 22, 4, 1, 16
2024/9/6, 133, 35, 20, 2, 1, 10
2024/9/7, 74, 55, 23, 5, , 13
2024/9/8, 113, 55, 21, 7, , 14
2024/9/9, 103, 46, 21, 7, , 10
2024/9/10, 87, 31, 24, 7, , 9
2024/9/11, 74, 50, 15, 11, , 9
2024/9/12, 70, 50, 15, 11, , 9
2024/9/13, 63, 57, 15, 10, , 10
2024/9/14, 85, 57, 17, 12, , 7
2024/9/15, 69, 51, 14, 11, , 7
2024/9/16, 70, 59, 15, 13, , 8
2024/9/17, 62, 42, 32, 8, , 10
2024/9/18, 73, 36, 23, 6, , 10
2024/9/19, 82, 12, 25, 4, , 9
2024/9/20, 23, 24, 24, 6, , 10
2024/9/25, 148, 35, 14, 11, , 8
2024/9/26, 46, 58, 21, 9, , 14
2024/9/27, 112, 59, 25, 9, , 15
2024/9/28, 115, 27, 17, 8, , 9
2024/9/29, 66, 21, 20, 6, , 9
2024/9/30, 66, 21, 23, 6, , 9
2024/10/1, 62, 31, 19, 9, , 9
2024/4/2, 68, 28, 11, 10, 1, 12
2024/4/3, 55, 25, 14, 9, 1, 11
2024/4/4, 43, 44, 37, 14, 1, 12
2024/4/5, 79, 36, 10, 12, 1, 4
2024/4/6, 46, 38, 10, 8, 1, 6
2024/4/7, 69, 47, 9, 8, 2, 9
2024/4/8, 101, 31, 11, 8, 2, 4
2024/4/9, 49, 53, 7, 12, 1, 3
2024/4/10, 59, 63, 6, 11, 1, 6
2024/4/11, 82, 57, 22, 8, 2, 11
2024/4/12, 99, 65, 18, 11, 2, 10
2024/4/13, 114, 82, 19, 11, 2, 14
2024/4/14, 138, 65, 7, 11, 2, 11
2024/4/15, 128, 49, 9, 7, 2, 9
2024/4/16, 117, 32, 13, 6, 1, 6
2024/4/17, 76, 36, 15, 7, 1, 6
2024/4/18, 64, 50, 13, 6, 1, 8
2024/4/19, 102, 43, 11, 7, , 5
2024/4/20, 62, 56, 10, 10, 1, 4
2024/4/21, 70, 45, 14, 7, 1, 7
2024/4/22, 97, 44, 15, 6, 1, 10
2024/4/23, 100, 73, 11, 6, 1, 19
