date, pm25, pm10, o3, no2, so2, co
2024/5/12, 143, 62, 14, 8, 1, 13
2024/5/13, 151, 46, 10, 8, 4, 9
2024/5/14, 109, 91, 12, 10, 1, 15
2024/5/15, 159, 57, 11, 11, 1, 9
2024/5/16, 133, 50, 12, 11, 1, 10
2024/5/17, 113, 89, 12, 11, 1, 19
2024/5/18, 165, 117, 12, 10, 1, 23
2024/5/19, 202, 79, 13, 8, 1, 11
2024/5/20, 185, 45, 14, 9, , 5
2024/5/21, 118, 55, 15, 8, 1, 9
2024/5/22, 146, 61, 7, 11, 1, 11
2024/5/23, 153, 87, 10, 9, 1, 14
2024/5/24, 157, 67, 11, 10, 3, 13
2024/5/25, 154, 55, 11, 11, , 9
2024/5/26, 134, 67, 13, 8, , 12
2024/5/27, 161, 100, 14, 12, 1, 15
2024/5/28, 196, 67, 14, 7, , 11
2024/5/29, 143, 20, 17, 6, 1, 2
2024/5/30, 62, 51, 14, 11, , 7
2024/5/31, 116, 53, 16, 8, , 8
2024/6/1, 121, 43, 20, 10, 1, 9
2024/6/2, 109, 57, 16, 9, , 11
2024/6/3, 136, 104, 10, 12, , 19
2024/6/4, 201, 57, 16, 7, , 8
2024/6/5, 139, 20, 16, 3, 1, 5
2024/6/6, 67, 24, 13, 5, 1, 6
2024/6/7, 80, 46, 7, 10, 1, 12
2024/6/8, 115, 34, 21, 3, 1, 8
2024/6/9, 91, 27, 19, 2, 1, 5
2024/6/10, 77, 21, 19, 2, , 6
2024/6/11, 61, 18, 18, 4, 1, 4
2024/6/12, 50, 14, 19, 2, 1, 2
2024/6/13, 41, 19, 18, 4, 1, 2
2024/6/14, 46, 20, 16, 7, 2, 1
2024/6/15, 54, 49, 15, 11, 1, 11
2024/6/16, 110, 39, 16, 6, 1, 7
2024/6/17, 90, 11, 16, 8, 1, 2
2024/6/18, 21, 21, 17, 9, 1, 6
2024/6/19, 48, 52, 14, 11, 1, 13
2024/6/20, 120, 12, 23, 3, , 2
2024/6/21, 24, 37, 21, 8, , 4
2024/6/22, 107, 42, 18, 9, , 6
2024/6/23, 118, 55, 14, 8, , 10
2024/6/24, 109, 96, 11, 12, 5, 22
2024/6/25, 166, 101, 9, 12, 1, 17
2024/6/26, 211, 37, 13, 13, 1, 4
2024/6/27, 104, 15, 16, 10, 1, 3
