date, pm25, pm10, o3, no2, so2, co
2023/10/24, 33, 34, 20, 5, 9, 1
2023/10/25, 45, 44, 19, 6, 9, 1
2023/10/26, 62, 35, 18, 6, 9, 1
2023/10/27, 52, 28, 19, 6, 10, 1
2023/10/28, 49, 27, 16, 8, 13, 1
2023/10/29, 53, 15, 14, 6, 10, 1
2023/10/30, 28, 18, 14, 5, 9, 1
2023/10/31, 31, 27, 21, 6, 10, 1
2023/11/1, 41, 25, 14, 6, 11, 1
2023/11/2, 41, 21, 23, 7, 10, 8
2023/11/3, 43, 26, 27, 10, 16, 1
2023/11/4, 36, 33, 19, 7, 12, 1
2023/11/5, 52, 27, 18, 5, 8, 1
2023/11/6, 40, 22, 17, 6, 10, 1
2023/11/7, 31, 22, 24, 5, 9, 7
2023/11/8, 23, 33, 26, 7, 12, 1
2023/11/9, 40, 42, 18, 7, 11, 1
2023/11/10, 51, 16, 8, 6, 10, 1
2023/11/11, 27, 17, 14, 4, 7, 1
2023/11/12, 20, 19, 13, 4, 7, 1
2023/11/13, 34, 27, 19, 5, 8, 1
2023/11/14, 40, 27, 19, 6, 10, 1
2023/11/15, 39, 25, 17, 5, 8, 1
2023/11/16, 35, 22, 20, 6, 10, 1
2023/11/17, 32, 21, 25, 9, 12, 8
2023/11/18, 31, 28, 20, 8, 13, 1
2023/11/19, 44, 30, 17, 6, 9, 1
2023/11/20, 45, 25, 20, 4, 6, 19
2023/11/21, 25, 20, 16, 4, 7, 1
2023/11/22, 21, 23, 19, 5, 7, 1
2023/11/23, 28, 35, 20, 5, 9, 1
2023/11/24, 40, 30, 14, 3, 6, 1
2023/11/25, 36, 26, 15, 3, 5, 1
2023/11/26, 36, 16, 15, 2, 4, 1
2023/11/27, 33, 9, 14, 2, 4, 
2023/11/28, 13, 12, 14, 4, 6, 1
2023/11/29, 14, 24, 24, 6, 10, 1
2023/11/30, 31, 29, 15, 3, 6, 1
2023/12/1, 36, 15, 23, 2, 4, 14
2023/12/2, 17, 22, 20, 4, 7, 1
2023/12/3, 24, 29, 23, 4, 7, 1
2023/12/4, 41, 38, 17, 4, 7, 1
2023/12/5, 48, 23, 16, 6, 10, 1
2023/12/6, 29, 31, 27, 7, 11, 9
2023/12/7, 37, 32, 19, 5, 8, 
2023/12/8, 49, 24, 15, 3, 5, 1
2023/12/9, 32, 19, , 6, 10, 1
2023/12/10, 27, 35, 16, 2, 3, 1
2023/12/11, 30, 29, 17, 3, 6, 
2023/12/12, 34, 29, 23, 4, 7, 1
2023/12/13, 29, 40, 32, 7, 11, 6
2023/12/14, 40, 32, 15, 3, 5, 1
2023/12/15, 40, 28, 14, 3, 5, 1
2023/12/16, 30, 18, 12, 4, 6, 1
2023/12/17, 21, 22, 17, 3, 5, 1
2023/12/18, 25, 31, 25, 4, 7, 1
2023/12/19, 30, 33, 16, 3, 6, 1
2023/12/20, 39, 37, 27, 7, 10, 13
2023/12/21, 40, 34, 16, 3, 6, 1
2023/12/22, 38, 38, 20, 5, 8, 1
2023/12/23, 48, 35, 16, 4, 6, 1
2023/12/24, 43, 22, 15, 3, 6, 1
2023/12/25, 33, 27, 20, 4, 7, 1
2023/12/26, 42, 20, 15, 4, 7, 
2023/12/27, 30, 20, 22, 5, 8, 4
2023/12/28, 19, 17, 9, 5, 8, 1
2023/12/29, 20, 23, 17, 5, 9, 1
2023/12/30, 30, 14, 11, 2, 4, 1
2023/12/31, 23, 19, 13, 4, 6, 2
2024/1/1, 30, 26, 14, 4, 6, 2
2023/7/2, 64, 33, 17, 8, 13, 10
2023/7/3, 70, 38, 14, 11, 18, 3
2023/7/4, 80, 38, 14, 12, 19, 4
2023/7/5, 72, 33, 13, 13, 21, 2
2023/7/6, 63, 34, 17, 12, 19, 7
